Province,Total,Urban,Town,Rural
National,104.8,102.97,103.28,107.91
Beijing,104.65,101.39,119.36,120.21
Tianjin,106.31,105.4,116.41,107.34
Hebei,102.02,99.02,102.1,104.26
Shanxi,104.06,99.7,102.05,110.07
InnerMongolia,104.26,99.63,101.99,112.26
Liaoning,99.7,97.53,99.19,104.77
Jilin,99.69,95.56,97.25,106.04
Heilongjiang,100.35,97.1,98.14,106.17
Shanghai,107.33,103.63,115.6,130.93
Jiangsu,103.15,102.49,102.81,104.69
Zhejiang,109.04,107.83,109.68,110.82
Anhui,103.94,99.46,102.5,108.06
Fujian,106.94,105.47,104.73,110.94
Jiangxi,106.62,103.8,105.08,110.04
Shandong,102.67,101.17,103.77,103.55
Henan,100.6,98.87,102.27,100.54
Hubei,105.83,102.73,102.69,111.34
Hunan,104.77,100.3,103.59,108.87
Guangdong,113.08,114.75,109.03,111.36
Guangxi,107.04,101.75,104.88,111.83
Hainan,112.86,109.71,111.82,116.52
Chongqing,102.21,97.86,99.25,111.89
Sichuan,102.19,97.59,97.02,108.84
Guizhou,104.5,100.94,101.4,108.41
Yunnan,107.16,101.9,104.2,111.52
Tibet,110.32,115.62,113.83,107.83
Shaanxi,104.79,102.52,102.91,108.46
Gansu,103.1,100.99,100.22,105.86
Qinghai,104.97,103.82,103.16,107.15
Ningxia,103.83,99.19,103,110.19
Xinjiang,106.85,105.02,106.99,108.33
