,1962,1967,1972,1977,1982,1987,1990,1992,1997,2002,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,1.056,1.056,1.056,1.056,1.06,1.064,1.069,1.073,1.077,1.078,1.075,1.074,1.073,1.073,1.073,1.074,1.072,1.072,1.07,1.07,1.069,1.0676,1.0667,1.0654
China,1.07,1.07,1.07,1.07,1.07,1.08,1.104,1.12,1.14,1.16,1.17,1.166,1.162,1.158,1.154,1.15,1.146,1.142,1.138,1.134,1.13,1.126,1.122,1.118
India,1.054,1.055,1.057,1.067,1.084,1.092,1.1,1.106,1.111,1.112,1.101,1.101,1.1,1.1,1.099,1.099,1.099,1.099,1.099,1.099,1.099,1.1,1.1,1.101
United States,1.05,1.052,1.053,1.052,1.051,1.05,1.049,1.049,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.047,1.047,1.047,1.047,1.047,1.047
Indonesia,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pakistan,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.08,1.096,1.086,1.086,1.086,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087
Brazil,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Nigeria,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059
Bangladesh,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049
Russian Federation,1.053,1.05,1.049,1.05,1.049,1.053,1.056,1.058,1.06,1.062,1.058,1.058,1.058,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.059,1.058,1.057,1.057
Mexico,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
