"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","1.05","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","",
"Africa Eastern and Southern","AFE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.03064923091754","","","","","1.03073874178271","","","","","1.03075409690511","","","","","1.03079329660297","","","","","1.03073118219603","","","","","1.03059954122192","","","1.03045777369588","","1.03049509283218","","","","","1.03018266632568","","","","","1.03011718255491","","","","","1.03043985439065","1.03061280325151","1.03085389480155","1.0310362611948","1.03128765459169","1.03147897687636","1.03149358543763","1.03156223240324","1.03159751369957","1.03166705021023","1.03168232722618","1.03164522112716","1.03164091514526","1.03165267646975","",
"Afghanistan","AFG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","1.06","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","",
"Africa Western and Central","AFW","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.04802426661287","","","","","1.04793530997224","","","","","1.04789656157017","","","","","1.04793750770508","","","","","1.04788054342826","","","","","1.04769592017619","","","1.04762618829581","","1.04762097277458","","","","","1.04767981248531","","","","","1.04772245440997","","","","","1.04777497777102","1.04779801487345","1.04782308256581","1.04784813831648","1.04787128147998","1.04789146082336","1.04790693482155","1.0479171261982","1.04792186466337","1.04792241371549","1.04792060782793","1.04791841985702","1.04791768895211","1.04791904247527","",
"Angola","AGO","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","1.02","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","1.022","1.024","1.026","1.028","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","",
"Albania","ALB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.06","","","","","1.062","","","","","1.066","","","","","1.074","","","","","1.085","","","","","1.08","","","1.084","","1.086","","","","","1.094","","","","","1.116","","","","","1.122","1.118","1.113","1.109","1.104","1.1","1.097","1.094","1.092","1.089","1.086","1.085","1.084","1.084","",
"Andorra","AND","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.0514940437534","","","","","1.05148251778823","","","","","1.05151558646302","","","","","1.05120757378047","","","","","1.05080472715021","","","","","1.05129513373297","","","1.0514281534472","","1.05165278864233","","","","","1.05172177063796","","","","","1.05301498591391","","","","","1.05265552700509","1.05266754118807","1.05270859107249","1.05284978270121","1.05291080259475","1.05295600734497","1.05275432216953","1.05250938919066","1.05195853544338","1.05164149359299","1.05131138928859","1.05124127597769","1.05117512319391","1.0511135545023","",
"United Arab Emirates","ARE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","1.045","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","",
"Argentina","ARG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","1.04","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","",
